Date,Open,High,Low,Close,Adj Close,Volume
2022/7/1,14.899,15.063,14.392,14.523,14.506663,577610000
2022/7/5,14.175,14.971,14.055,14.964,14.947166,651397000
2022/7/6,15.01,15.319,14.789,15.13,15.11298,529066000
2022/7/7,15.456,15.945,15.389,15.858,15.84016,492903000
2022/7/8,15.43,16.037001,15.389,15.838,15.820185,467972000
2022/7/11,15.526,15.527,15.038,15.152,15.134954,437321000
2022/7/12,15.268,15.431,14.877,15.082,15.065034,458483000
2022/7/13,14.59,15.375,14.465,15.164,15.146941,521918000
2022/7/14,15.108,15.473,14.728,15.372,15.354707,456235000
2022/7/15,15.659,15.782,15.445,15.762,15.744269,385935000
2022/7/18,16.302,16.896999,16.002001,16.101,16.082888,670517000
2022/7/19,16.486,17.110001,16.172001,16.992001,16.972883,702366000
2022/7/20,16.947001,17.933001,16.801001,17.806999,17.786966,760538000
2022/7/21,17.885,18.143999,17.545,18.049999,18.029694,557049000
2022/7/22,17.893,17.966999,17.136999,17.319,17.299517,536671000
2022/7/25,17.018999,17.124001,16.649,17.024,17.004852,480748000
2022/7/26,16.889,16.919001,16.478001,16.533001,16.5144,397865000
2022/7/27,17.032,17.936001,16.913,17.790001,17.769993,569776000
2022/7/28,17.975,18.139999,17.440001,17.983999,17.96377,474646000
2022/7/29,17.813,18.243999,17.691999,18.163,18.142569,435460000
2022/8/1,18.181999,18.846001,17.99,18.441,18.420258,476469000
2022/8/2,18.122,18.938,18.091999,18.525999,18.505159,489527000
2022/8/3,18.184,18.968,18.136999,18.893,18.871746,418146000
2022/8/4,18.849001,19.274,18.76,19.215,19.193388,409652000
2022/8/5,18.809999,19.229,18.666,18.989,18.967638,386068000
2022/8/8,17.502001,18.239,17.242001,17.792999,17.772984,981859000
2022/8/9,17.252001,17.447001,16.724001,17.086,17.066778,668263000
2022/8/10,17.698,18.118,17.316999,18.097,18.076639,597422000
2022/8/11,18.131001,18.707001,17.875999,17.941999,17.921816,509327000
2022/8/12,18.16,18.718,17.952999,18.709,18.68795,478094000
2022/8/15,18.701,19.164,18.613001,19.032,19.01059,457666000
2022/8/16,18.92,19.142,18.500999,18.879,18.857763,451240000
2022/8/17,18.523001,18.688,18.145,18.334999,18.314371,446799000
2022/8/18,18.301001,18.865,18.183001,18.773001,18.751884,415447000
2022/8/19,18.406,18.52,17.77,17.849001,17.82892,441588000
2022/8/22,17.49,17.558001,16.966,17.034,17.014837,409593000
2022/8/23,16.989,17.465,16.969999,17.181,17.161673,369986000
2022/8/24,17.011999,17.406,16.895,17.222,17.202627,522661000
2022/8/25,16.844,17.947001,16.833,17.913,17.892849,770691000
